City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Xiamen,CN,2020-08-21 23:47:50,24.48,118.08,82.4,83,75,4.47
108,Gamba,GA,2020-08-21 23:42:25,-2.65,10.0,72.72,84,89,2.98
109,Sal Rei,CV,2020-08-21 23:47:50,16.18,-22.92,78.8,83,75,11.41
110,Kodiak,US,2020-08-21 23:46:40,57.79,-152.41,77.0,36,1,12.75
111,Dao,PH,2020-08-21 23:47:50,11.39,122.69,81.68,80,41,3.58
112,Chuy,UY,2020-08-21 23:46:21,-33.7,-53.46,45.36,76,0,5.39
113,Georgetown,MY,2020-08-21 23:46:34,5.41,100.34,78.8,94,20,5.82
114,Mananjary,MG,2020-08-21 23:47:51,-21.22,48.33,65.73,90,2,2.15
115,Campobasso,IT,2020-08-21 23:47:51,41.63,14.58,70.0,72,0,3.24
116,Portland,US,2020-08-21 23:46:37,45.52,-122.68,77.0,50,75,9.17
117,Souillac,MU,2020-08-21 23:47:52,-20.52,57.52,69.8,77,40,6.93
118,Half Moon Bay,US,2020-08-21 23:45:28,37.46,-122.43,84.2,88,40,12.44
119,Castro,BR,2020-08-21 23:44:23,-24.79,-50.01,40.14,89,98,5.7
120,Okulovka,RU,2020-08-21 23:47:52,58.4,33.29,53.11,78,0,2.13
121,Urucara,BR,2020-08-21 23:47:52,-2.54,-57.76,84.94,36,47,2.68
122,La Ronge,CA,2020-08-21 23:47:53,55.1,-105.28,66.2,68,90,13.87
123,Narvik,NO,2020-08-21 23:47:53,68.44,17.43,55.99,93,57,14.99
124,Cherskiy,RU,2020-08-21 23:46:27,68.75,161.3,39.96,88,100,14.83
125,Kushima,JP,2020-08-21 23:47:53,31.46,131.23,84.2,74,40,6.93
126,Tuatapere,NZ,2020-08-21 23:47:53,-46.13,167.68,53.01,83,16,8.01
127,Lasa,IT,2020-08-21 23:46:49,46.62,10.7,62.6,93,5,3.36
128,Pyapon,MM,2020-08-21 23:47:54,16.28,95.68,76.26,92,97,3.44
129,Dikson,RU,2020-08-21 23:46:25,73.51,80.55,42.17,81,0,13.89
130,Vila Franca Do Campo,PT,2020-08-21 23:46:33,37.72,-25.43,71.6,88,20,6.93
131,Los Llanos De Aridane,ES,2020-08-21 23:46:55,28.66,-17.92,82.0,83,20,17.22
132,Gafanha Da Encarnacao,PT,2020-08-21 23:47:55,40.62,-8.73,66.99,98,11,10.4
133,Sovetskiy,RU,2020-08-21 23:47:55,61.36,63.58,56.01,93,100,9.8
134,Kununurra,AU,2020-08-21 23:46:40,-15.77,128.73,75.2,28,62,4.41
135,Bay Roberts,CA,2020-08-21 23:47:55,47.6,-53.26,62.01,39,75,11.12
136,Sioux Lookout,CA,2020-08-21 23:47:56,50.1,-91.92,80.6,57,75,2.64
137,Talaya,RU,2020-08-21 23:47:56,61.38,152.75,37.83,78,100,15.32
138,Hokitika,NZ,2020-08-21 23:47:56,-42.72,170.97,55.06,81,79,5.44
139,Chiang Khong,TH,2020-08-21 23:47:57,20.26,100.4,75.2,100,75,3.36
140,Korla,CN,2020-08-21 23:46:22,41.76,86.15,74.61,32,22,7.16
141,East London,ZA,2020-08-21 23:47:14,-33.02,27.91,57.96,74,8,9.31
142,Vavozh,RU,2020-08-21 23:47:57,56.78,51.93,51.66,90,88,6.64
143,Lata,PT,2020-08-21 23:46:47,40.16,-8.33,63.0,91,34,3.0
144,Airai,TL,2020-08-21 23:47:08,-8.93,125.41,70.45,37,0,4.38
145,San Nicolas,PH,2020-08-21 23:47:58,18.17,120.6,82.71,74,27,8.03
146,La Fria,VE,2020-08-21 23:47:58,8.22,-72.24,86.0,62,40,11.41
147,Akdepe,TM,2020-08-21 23:47:58,42.06,59.38,73.4,40,0,9.17
148,Axim,GH,2020-08-21 23:47:59,4.87,-2.24,74.84,89,65,8.37
149,Narsaq,GL,2020-08-21 23:46:21,60.92,-46.05,47.52,64,0,3.69
150,Lorengau,PG,2020-08-21 23:46:21,-2.02,147.27,85.78,65,39,10.18
151,Imbituba,BR,2020-08-21 23:44:13,-28.24,-48.67,53.6,54,41,6.93
152,Ust-Kuyga,RU,2020-08-21 23:47:59,70.02,135.6,39.34,77,100,5.7
153,Walvis Bay,NA,2020-08-21 23:48:00,-22.96,14.51,68.0,8,50,17.22
154,Fort Nelson,CA,2020-08-21 23:45:58,58.81,-122.7,59.0,87,90,6.93
155,Beringovskiy,RU,2020-08-21 23:48:00,63.05,179.32,51.91,92,100,14.92
156,Guangyuan,CN,2020-08-21 23:48:00,32.44,105.82,66.99,97,96,3.0
157,Kautokeino,NO,2020-08-21 23:48:00,69.01,23.04,55.31,92,51,18.54
158,Voznesenye,RU,2020-08-21 23:48:01,61.01,35.48,58.82,76,0,4.38
159,Mnogovershinnyy,RU,2020-08-21 23:46:59,53.94,139.92,60.19,50,22,4.74
160,Woodstock,CA,2020-08-21 23:48:01,43.13,-80.75,80.6,61,20,4.7
161,Muncar,ID,2020-08-21 23:48:01,-8.43,114.33,76.39,79,14,2.01
162,Parabel,RU,2020-08-21 23:48:02,58.7,81.48,48.38,95,0,7.52
163,Ambon,ID,2020-08-21 23:48:02,-3.7,128.18,80.6,78,40,3.36
164,Banikoara,BJ,2020-08-21 23:48:02,11.3,2.44,73.04,94,89,0.54
165,Bereda,ES,2020-08-21 23:48:02,43.27,-7.54,57.99,96,0,2.08
166,San Luis,AR,2020-08-21 23:48:03,-33.3,-66.34,46.8,44,0,3.58
167,Ibra,OM,2020-08-21 23:48:03,22.69,58.53,87.17,51,99,3.49
168,Kaspiyskiy,RU,2020-08-21 23:48:03,45.39,47.37,72.55,40,92,8.05
169,Ugoofaaru,MV,2020-08-21 23:48:03,5.67,73.0,81.66,73,61,2.82
170,Morondava,MG,2020-08-21 23:48:04,-20.28,44.28,71.51,72,42,8.55
171,Yilan,TW,2020-08-21 23:46:20,24.76,121.75,84.0,99,94,0.96
172,Necochea,AR,2020-08-21 23:48:04,-38.55,-58.74,43.0,87,0,3.0
173,Hofn,IS,2020-08-21 23:48:04,64.25,-15.21,48.42,62,0,21.52
174,Norman Wells,CA,2020-08-21 23:47:08,65.28,-126.83,66.2,48,75,20.8
175,Beckley,US,2020-08-21 23:47:52,37.78,-81.19,71.6,88,75,3.36
176,Praia,CV,2020-08-21 23:48:05,14.92,-23.51,80.6,74,40,3.36
177,Tura,IN,2020-08-21 23:46:26,25.52,90.22,73.08,93,85,3.87
178,Mildura,AU,2020-08-21 23:48:05,-34.2,142.15,48.0,75,5,14.99
179,Daru,PG,2020-08-21 23:48:06,-9.08,143.21,79.16,73,12,9.62
180,Ribeira Grande,PT,2020-08-21 23:46:51,38.52,-28.7,69.4,64,4,3.02
181,San Remigio,PH,2020-08-21 23:48:06,11.08,123.94,83.95,75,87,7.99
182,Pangnirtung,CA,2020-08-21 23:48:06,66.15,-65.71,53.19,67,58,5.64
183,Ormara,PK,2020-08-21 23:48:07,25.21,64.64,83.28,81,99,9.04
184,Hami,CN,2020-08-21 23:48:07,42.8,93.45,77.04,23,58,5.64
185,Labuhan,ID,2020-08-21 23:48:07,-6.88,112.21,78.53,72,70,8.77
186,Mar Del Plata,AR,2020-08-21 23:42:42,-38.0,-57.56,51.01,93,0,2.24
187,Kutum,SD,2020-08-21 23:48:08,14.2,24.67,73.98,69,40,3.04
188,Hamilton,US,2020-08-21 23:45:58,39.18,-84.53,81.0,74,1,4.7
189,Kembe,CF,2020-08-21 23:48:08,4.62,21.89,70.93,94,95,2.19
190,Victoria,HK,2020-08-21 23:46:22,22.29,114.16,84.0,74,37,3.0
191,Saint George,US,2020-08-21 23:47:19,37.1,-113.58,107.01,13,1,14.99
192,Tateyama,JP,2020-08-21 23:48:09,34.98,139.87,88.0,84,20,3.36
193,Kruisfontein,ZA,2020-08-21 23:48:09,-34.0,24.73,51.01,93,65,1.01
194,Talnakh,RU,2020-08-21 23:47:17,69.49,88.4,53.6,81,40,4.47
195,Torbay,CA,2020-08-21 23:46:57,47.67,-52.73,64.99,67,75,16.11
196,Athabasca,CA,2020-08-21 23:44:08,54.72,-113.29,68.65,59,99,12.41
197,Kilindoni,TZ,2020-08-21 23:47:15,-7.91,39.67,76.32,76,47,13.89
198,Kirkwall,GB,2020-08-21 23:43:37,58.98,-2.96,57.2,93,15,8.05
199,Chara,RU,2020-08-21 23:46:50,56.91,118.26,61.32,52,12,1.41
200,Lompoc,US,2020-08-21 23:47:29,34.64,-120.46,77.0,64,90,11.41
201,Tuy Hoa,VN,2020-08-21 23:48:10,13.08,109.3,79.39,78,26,7.23
202,Honningsvag,NO,2020-08-21 23:48:11,70.98,25.97,56.91,82,99,12.37
203,Leningradskiy,RU,2020-08-21 23:48:11,69.38,178.42,45.34,76,100,2.3
204,Saldanha,ZA,2020-08-21 23:47:30,-33.01,17.94,50.0,87,0,2.24
205,Pisco,PE,2020-08-21 23:43:17,-13.7,-76.22,62.6,77,40,5.82
206,Inuvik,CA,2020-08-21 23:43:28,68.35,-133.72,66.2,59,20,10.29
207,Cumpas,MX,2020-08-21 23:48:12,29.98,-109.78,88.52,58,4,11.18
208,Humboldt,US,2020-08-21 23:48:12,40.67,-123.92,73.99,37,6,10.0
209,Nanortalik,GL,2020-08-21 23:46:59,60.14,-45.24,45.59,73,0,2.04
210,Shitkino,RU,2020-08-21 23:48:13,56.37,98.35,61.14,73,100,3.71
211,Tasiilaq,GL,2020-08-21 23:47:07,65.61,-37.64,46.4,69,8,8.05
212,Porto Novo,BJ,2020-08-21 23:48:13,6.5,2.6,75.2,94,20,8.05
