City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Kadnikov,RU,59.5,40.34,60.69,82,100,5.84,overcast clouds
141,Nome,US,64.5,-165.41,53.6,81,90,9.17,overcast clouds
142,Cabo San Lucas,MX,22.89,-109.91,91.4,52,40,6.93,scattered clouds
143,Gushikawa,JP,26.35,127.87,82.4,88,90,26.4,heavy intensity rain
144,Saurimo,AO,-9.66,20.39,72.43,38,58,1.5,broken clouds
145,Longyearbyen,SJ,78.22,15.64,40.8,69,3,6.29,clear sky
146,Casper,US,42.87,-106.31,96.01,11,1,9.17,clear sky
147,Mar Del Plata,AR,-38.0,-57.56,55.4,66,0,13.87,clear sky
148,Soroti,UG,1.71,33.61,65.62,89,42,3.51,light rain
149,Torbay,CA,47.67,-52.73,69.01,68,75,6.93,broken clouds
150,Zvishavane,ZW,-20.33,30.07,59.32,59,92,2.24,overcast clouds
151,Yenagoa,NG,4.92,6.26,74.62,88,100,4.45,overcast clouds
152,Zuwarah,LY,32.93,12.08,78.12,85,0,5.26,clear sky
153,Albany,US,42.6,-73.97,81.0,54,75,11.41,broken clouds
154,Dauriya,RU,49.93,116.87,55.15,90,23,4.43,few clouds
155,Paamiut,GL,61.99,-49.67,42.58,88,1,4.54,clear sky
156,Tairua,NZ,-37.02,175.85,57.99,75,67,7.0,broken clouds
157,Alice Springs,AU,-23.7,133.88,46.4,42,0,5.1,clear sky
158,Vaitape,PF,-16.52,-151.75,77.47,77,17,19.55,few clouds
159,Zhigansk,RU,66.77,123.37,39.34,91,6,15.61,clear sky
160,Sao Filipe,CV,14.9,-24.5,79.7,81,66,6.06,broken clouds
161,Buraydah,SA,26.33,43.98,95.0,21,0,5.82,clear sky
162,Henties Bay,NA,-22.12,14.28,55.99,88,0,5.99,clear sky
163,Awjilah,LY,29.11,21.29,79.07,57,0,18.81,clear sky
164,Pevek,RU,69.7,170.31,37.44,95,100,3.69,overcast clouds
165,San Vicente,AR,-26.62,-54.13,59.56,76,0,3.06,clear sky
166,Zvecka,RS,44.64,20.16,75.0,73,18,5.82,few clouds
167,Olafsvik,IS,64.89,-23.71,51.8,68,14,7.34,few clouds
