City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Dezful,IR,89.51,clear sky,32.38,48.41,سالن پیرایش امید
520,Thanh Hoa,VN,77.58,few clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
524,San Juan De Colon,VE,87.8,scattered clouds,8.03,-72.26,Hotel San Francisco de Padua C.A
525,Rapu-Rapu,PH,82.99,overcast clouds,13.19,124.13,Seaview Dormitel
526,Rincon,US,84.2,broken clouds,32.3,-81.24,Bent tree subdivision
535,Iroquois Falls,CA,78.8,scattered clouds,48.77,-80.68,Auberge MacDonald Guest Inn
537,Neiafu,TO,78.8,few clouds,-18.65,-173.98,Mystic Sands
542,Hambantota,LK,78.94,few clouds,6.12,81.12,Bungalow 63
544,Namatanai,PG,79.5,light rain,-3.67,152.43,Namatanai Hotel
548,Malaga,ES,78.01,clear sky,36.72,-4.42,AC Hotel by Marriott Malaga Palacio
549,Vanimo,PG,77.04,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
550,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
552,Hami,CN,77.54,broken clouds,42.8,93.45,Laoyutang Resort
557,Jalu,LY,79.92,clear sky,29.03,21.55,Jalu Hotel
560,Bitung,ID,75.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
569,Batatais,BR,78.8,clear sky,-20.89,-47.59,Castelo Palace Hotel
571,Aitape,PG,76.44,light rain,-3.14,142.35,
573,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
574,Havelock,US,82.4,moderate rain,34.88,-76.9,Sherwood Motel
579,Nushki,PK,84.45,few clouds,29.55,66.02,Mahran motor showroom
582,Gouyave,GD,87.8,few clouds,12.16,-61.73,Rumboat Retreat
585,Bubaque,GW,80.78,overcast clouds,11.28,-15.83,Casa Dora
586,Kulhudhuffushi,MV,82.96,light rain,6.62,73.07,Haajy Guest House 1
591,Fairview,US,89.6,clear sky,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
594,Fukue,JP,82.02,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
595,Kodinar,IN,80.67,moderate rain,20.79,70.7,"Hotel Krishna Park, Kodinar"
598,Yantzaza,EC,86.0,scattered clouds,-3.83,-78.76,HOTEL ALEJANDRO YANTZAZA
602,Funadhoo,MV,82.89,light rain,6.15,73.27,Dhaffalhu Tourist Lodge
603,Aksu,CN,76.03,clear sky,41.12,80.26,Pudong Holiday Hotel
607,Carutapera,BR,77.29,light rain,-1.2,-46.02,Lidera
609,Malinyi,TZ,75.72,scattered clouds,-8.93,36.13,
619,Bachaquero,VE,86.23,light rain,9.97,-71.15,casa de los dinosaurios
